k,Kmeans,GMM
2,0.5370010231610971,0.4261032426526876
3,0.5634099754490884,0.47726872966993766
4,0.5651268050865723,0.5858129919162841
5,0.5837493280086015,0.6000777899720303
6,0.6034767658199781,0.6029020118865059
7,0.612853678053566,0.6124895020698574
8,0.6115257982762337,0.6032760974207917
9,0.6159479352212679,0.6046807762150967
10,0.625005264448744,0.6139685024934907
11,0.625666726949766,0.6148108142925448
12,0.6280351095376947,0.6225551280685543
13,0.6279855617848091,0.6249656262464357
14,0.6306338891765412,0.6249978322858113
15,0.6339833172716034,0.6309163113679886
16,0.6333292869335143,0.6281787980210628
18,0.6356481217685575,0.6336414377766932
20,0.6353582674141771,0.6327049852471566
22,0.6375755293558049,0.6340006589851134
24,0.6379372279518694,0.6359825691005349
26,0.6380165043564862,0.6378554741596082
28,0.6387869719138562,0.6368992025289173
30,0.6402684497251339,0.6357918102519255
32,0.6392031730380948,0.6389603890489557
34,0.6402981783768652,0.6372609011249817
36,0.6410810328724567,0.6394261379260797
40,0.6417028571711701,0.6404567311860989
45,0.6408630227597603,0.6416756059070831
50,0.6424163448127219,0.64132629424924
55,0.6416706511317946,0.6419084803456451
60,0.6426962896165251,0.6415814651766005
