k,Kmeans,GMM
2,0.13416786683160514,0.24310753328600662
3,0.12370854303960868,0.20158795691163772
4,0.13706479087691384,0.07878786185701565
5,0.1215569934952778,0.09356839664515035
6,0.14592446541952658,0.08743539907888877
7,0.14225112836495288,0.054117615355264506
8,0.14407655315919626,0.03880809389450374
9,0.1431282764987116,0.02777617993904979
10,0.14565395415815777,0.01377929473566349
11,0.15425598185610062,0.027335237183905226
12,0.13308566638176691,0.02307107671239026
13,0.14955506987272585,0.04229835777298906
14,0.1444722443400307,0.05382455555887116
15,0.15205898156644368,0.04968565594819308
16,0.15679593151804058,0.05337721113735328
18,0.15083630798386063,0.05915595712416705
20,0.14967610606926018,0.05496081868110359
22,0.13909800032423053,0.0781558476180763
24,0.14404222803389286,0.06621036185818932
26,0.15921428823629466,0.08203704875272216
28,0.14668236848043315,0.08512241031057394
30,0.145625453270283,0.05804130652822181
32,0.14462987800794003,0.09109719659214703
34,0.1443387341981901,0.07279699518149782
36,0.151997966079443,0.08089717772694709
40,0.1619402796333374,0.09641056798073078
45,0.15841482036986865,0.10518063749248246
50,0.16055679531410735,0.10800773837208673
55,0.1599417746795845,0.10263459198351685
60,0.16270308409246348,0.12723320739265997
