k,Kmeans,GMM
2,0.011837558879177137,0.006994875804174991
3,0.025816680502185618,0.05134575693104104
4,0.027551451269307407,0.05141222573226226
5,0.031131603451057293,0.039518342065155566
6,0.03996928834520791,0.06975330707040789
7,0.04688694979038456,0.05671910925798152
8,0.03900970848462048,0.05503458504335768
9,0.04199561679800458,0.05359335285786989
10,0.04290359363738261,0.05217242257996521
11,0.04366635498569893,0.05589501029757756
12,0.039404904341598754,0.05341689121188045
13,0.03964331340013016,0.05007840870505698
14,0.044220749784973645,0.06087403489060279
15,0.04048916619486874,0.05835603833454988
16,0.037711920331221026,0.05917554194244953
18,0.04387849555697169,0.04338195477740424
20,0.035338726107776795,0.052758123467011114
22,0.03759714735534748,0.04265796575949911
24,0.04024476396464634,0.035274038465636495
26,0.03637570399559532,0.033454658874929426
28,0.03533509123538174,0.03862570900421221
30,0.03528487072649942,0.04490952545147365
32,0.03573644804409546,0.04239965362385118
34,0.041658611895725346,0.04331395469396448
36,0.037501887434493446,0.04574313619978353
40,0.03559855141899742,0.04190153991737532
45,0.033250570202643,0.041028671173007875
50,0.03069431558080296,0.03807340227142324
55,0.03413565797989913,0.029326604141386086
60,0.034425842446276736,0.03347702482926475
