k,diabetic log-likelihood
2,-6.907763778320513
3,1.3786809306020409
4,6.648417189029215
5,10.631472647538516
6,8.842808308896961
7,11.188928387453561
8,12.838530690325252
9,13.509809422594797
10,14.201737506529325
11,14.994632486481148
12,15.06957620601608
13,15.576518767016262
14,17.756090485024153
15,17.64342802975278
16,17.741571952214088
18,18.161642114056136
20,19.257817969020422
22,19.650134497319062
24,20.20948695895976
26,21.049489580252107
28,21.44431848852915
30,22.10927327654874
32,22.870130992879453
34,23.781171532435614
36,23.961969448632768
40,24.749495992359318
45,25.984776273346878
50,26.191495550637242
55,28.157037344703824
60,29.51615912957807
