k,Kmeans,GMM
2,0.5074671860121255,0.5016484752202354
3,0.5055244256654912,0.5221670869600585
4,0.5065580124508927,0.5166019877405122
5,0.5073666984079892,0.5043233595398625
6,0.5095965661950129,0.51317105382786
7,0.5127930290313474,0.5068116240232365
8,0.5073954091520282,0.5094243017307793
9,0.5079456984127744,0.5092233265225068
10,0.5074958967561645,0.5087065331298061
11,0.5073188471679243,0.5131471282078275
12,0.5049597810327254,0.5079074174207224
13,0.5058402438499193,0.5046583182203167
14,0.5069264669993923,0.5104913843842264
15,0.5049980620247774,0.5100128719835775
16,0.5039740454873888,0.5099363099994736
18,0.5042180868117198,0.5036773677989865
20,0.5037060785430254,0.5077447232045018
22,0.5039022686272915,0.5044573430120441
24,0.5036151611869022,0.5031414339102598
26,0.5028830372139094,0.5029308884539743
28,0.5024045248132606,0.5038448471392136
30,0.5025002272933903,0.5081036075049885
32,0.5023805991932281,0.5031462190342663
34,0.5037347892870644,0.502820830601825
36,0.5022848967130983,0.5025145826654098
40,0.5016197644761964,0.501576698360138
45,0.5015479876160991,0.5014714256319952
50,0.5017489628243716,0.5018398801804949
55,0.5014379297639499,0.5024380206813059
60,0.501390078523885,0.5016006239801705
