k,type,score,label
2,Kmeans,0.388851,1
2,Kmeans,0.367469,1
2,Kmeans,0.404546,0
2,Kmeans,0.403187,0
2,Kmeans,0.298846,1
2,Kmeans,0.509952,0
2,Kmeans,0.357165,1
2,Kmeans,0.405811,0
2,Kmeans,0.280683,0
2,Kmeans,0.321142,1
2,Kmeans,0.365743,1
2,Kmeans,0.410913,0
2,Kmeans,0.282735,0
2,Kmeans,0.236478,1
2,Kmeans,0.426462,0
2,Kmeans,0.49239,0
2,Kmeans,0.284033,1
2,Kmeans,0.047828,1
2,Kmeans,0.085051,0
2,Kmeans,0.350206,0
2,Kmeans,0.235335,0
2,Kmeans,0.422332,1
2,Kmeans,0.339231,1
2,Kmeans,0.337621,0
2,Kmeans,0.203326,1
2,Kmeans,0.35154,1
2,Kmeans,0.280411,1
2,Kmeans,0.290018,1
2,Kmeans,0.327385,1
2,Kmeans,0.356578,1
2,Kmeans,0.489991,0
2,Kmeans,0.403426,1
2,Kmeans,0.410066,1
2,Kmeans,0.421901,1
2,Kmeans,0.517276,0
2,Kmeans,0.4404,0
2,Kmeans,0.370304,0
2,Kmeans,0.42478,1
2,Kmeans,0.278225,0
2,Kmeans,0.366286,1
2,Kmeans,0.200307,1
2,Kmeans,0.469006,0
2,Kmeans,0.373847,0
2,Kmeans,0.307344,1
2,Kmeans,0.192745,0
2,Kmeans,0.354647,1
2,Kmeans,0.447328,0
2,Kmeans,0.352566,0
2,Kmeans,0.230247,1
2,Kmeans,0.350841,0
2,Kmeans,0.011551,1
2,Kmeans,0.384114,0
2,Kmeans,0.18093,0
2,Kmeans,0.266264,0
2,Kmeans,0.491342,0
2,Kmeans,0.274998,0
2,Kmeans,0.398472,1
2,Kmeans,0.277483,1
2,Kmeans,0.233273,1
2,Kmeans,0.452747,0
2,Kmeans,0.00972,1
2,Kmeans,0.398217,0
2,Kmeans,0.305133,1
2,Kmeans,0.394782,1
2,Kmeans,0.336933,1
2,Kmeans,0.408827,0
2,Kmeans,0.483847,0
2,Kmeans,0.169492,0
2,Kmeans,0.489304,0
2,Kmeans,0.345374,0
2,Kmeans,0.396048,0
2,Kmeans,0.408643,1
2,Kmeans,0.440883,1
2,Kmeans,0.117179,1
2,Kmeans,0.438552,0
2,Kmeans,0.181573,0
2,Kmeans,0.397341,0
2,Kmeans,0.22751,1
2,Kmeans,0.201873,1
2,Kmeans,-0.000182,1
2,Kmeans,0.398697,0
2,Kmeans,0.348838,1
2,Kmeans,0.14578,1
2,Kmeans,0.350791,1
2,Kmeans,0.202242,0
2,Kmeans,0.357464,1
2,Kmeans,0.131792,1
2,Kmeans,0.385816,0
2,Kmeans,0.408072,1
2,Kmeans,0.256635,1
2,Kmeans,0.441881,0
2,Kmeans,0.389003,1
2,Kmeans,-0.04968,1
2,Kmeans,0.32618,1
2,Kmeans,0.495965,0
2,Kmeans,0.233171,0
2,Kmeans,0.351587,1
2,Kmeans,0.409632,0
2,Kmeans,0.181596,1
2,Kmeans,0.139141,0
2,Kmeans,0.246186,1
2,Kmeans,0.219245,0
2,Kmeans,0.4108,1
2,Kmeans,0.124635,0
2,Kmeans,0.367724,1
2,Kmeans,0.313496,1
2,Kmeans,0.37077,1
2,Kmeans,0.495143,0
2,Kmeans,0.452987,0
2,Kmeans,0.286752,1
2,Kmeans,0.223464,1
2,Kmeans,0.280816,0
2,Kmeans,0.397332,1
2,Kmeans,0.316419,0
2,Kmeans,0.383955,1
2,Kmeans,0.306863,1
2,Kmeans,0.236091,0
2,Kmeans,0.088659,0
2,Kmeans,0.510639,0
2,Kmeans,0.272837,1
2,Kmeans,0.259691,0
2,Kmeans,0.071378,0
2,Kmeans,0.304626,1
2,Kmeans,0.340592,1
2,Kmeans,0.276031,1
2,Kmeans,0.071501,1
2,Kmeans,0.306979,1
2,Kmeans,0.296777,1
2,Kmeans,0.23527,1
2,Kmeans,0.469087,0
2,Kmeans,0.330256,1
2,Kmeans,0.499292,0
2,Kmeans,0.47254,0
2,Kmeans,0.241202,1
2,Kmeans,0.073175,1
2,Kmeans,0.322325,1
2,Kmeans,0.263094,1
2,Kmeans,0.366593,0
2,Kmeans,0.36637,1
2,Kmeans,0.075753,0
2,Kmeans,0.388077,0
2,Kmeans,0.442091,0
2,Kmeans,0.302741,1
2,Kmeans,0.336393,1
2,Kmeans,0.361731,0
2,Kmeans,-0.057593,1
2,Kmeans,0.430438,0
2,Kmeans,0.367033,0
2,Kmeans,0.362871,1
2,Kmeans,0.38616,0
2,Kmeans,0.277684,1
2,Kmeans,0.172546,0
2,Kmeans,0.265572,1
2,Kmeans,0.21113,0
2,Kmeans,0.274807,0
2,Kmeans,0.180704,1
2,Kmeans,0.076933,1
2,Kmeans,0.315105,1
2,Kmeans,0.377407,1
2,Kmeans,0.287432,1
2,Kmeans,0.391985,0
2,Kmeans,0.442354,0
2,Kmeans,0.279757,1
2,Kmeans,0.274374,0
2,Kmeans,0.116694,1
2,Kmeans,0.313784,1
2,Kmeans,0.074115,1
2,Kmeans,0.129924,0
2,Kmeans,0.293386,0
2,Kmeans,0.286253,0
2,Kmeans,0.308421,1
2,Kmeans,0.188372,1
2,Kmeans,0.106694,1
2,Kmeans,0.383067,0
2,Kmeans,-0.03627,1
2,Kmeans,0.487095,0
2,Kmeans,0.163575,1
2,Kmeans,0.359543,1
2,Kmeans,0.439854,1
2,Kmeans,0.495294,0
2,Kmeans,0.063718,1
2,Kmeans,0.362848,1
2,Kmeans,0.222712,0
2,Kmeans,0.421217,1
2,Kmeans,0.295264,1
2,Kmeans,0.312027,1
2,Kmeans,0.272515,0
2,Kmeans,0.288407,1
2,Kmeans,0.384581,1
2,Kmeans,0.192018,0
2,Kmeans,0.466756,0
2,Kmeans,0.354441,1
2,Kmeans,0.332574,1
2,Kmeans,0.091378,0
2,Kmeans,0.39647,1
2,Kmeans,0.447241,0
2,Kmeans,0.002807,1
2,Kmeans,0.215043,1
2,Kmeans,0.319669,1
2,Kmeans,0.127664,0
2,Kmeans,0.048453,0
2,Kmeans,0.12763,1
2,Kmeans,0.499897,0
2,Kmeans,0.38902,1
2,Kmeans,0.140079,0
2,Kmeans,0.386377,1
2,Kmeans,0.040268,1
2,Kmeans,0.32325,1
2,Kmeans,0.14616,0
2,Kmeans,0.396396,0
2,Kmeans,-0.033701,1
2,Kmeans,0.249131,1
2,Kmeans,0.377474,1
2,Kmeans,0.212253,1
2,Kmeans,0.250462,1
2,Kmeans,0.361691,0
2,Kmeans,0.409671,1
2,Kmeans,0.287635,1
2,Kmeans,0.445683,0
2,Kmeans,0.242662,1
2,Kmeans,0.233659,1
2,Kmeans,0.067981,1
2,Kmeans,0.478642,0
2,Kmeans,0.281904,1
2,Kmeans,0.088233,1
2,Kmeans,0.35917,0
2,Kmeans,0.426502,1
2,Kmeans,0.339063,0
2,Kmeans,0.184036,0
2,Kmeans,0.356136,1
2,Kmeans,0.426013,1
2,Kmeans,0.487272,0
2,Kmeans,0.308677,1
2,Kmeans,0.267853,1
2,Kmeans,0.332527,0
2,Kmeans,0.517114,0
2,Kmeans,0.488687,0
2,Kmeans,0.159342,0
2,Kmeans,-0.057014,1
2,Kmeans,0.342374,0
2,Kmeans,0.209959,1
2,Kmeans,0.156454,1
2,Kmeans,0.190575,1
2,Kmeans,0.008195,1
2,Kmeans,0.456287,0
2,Kmeans,0.321542,0
2,Kmeans,0.335199,1
2,Kmeans,0.304405,0
2,Kmeans,0.459178,0
2,Kmeans,0.480819,0
2,Kmeans,0.465426,0
2,Kmeans,0.105172,0
2,Kmeans,0.103575,0
2,Kmeans,0.18574,1
2,Kmeans,0.117994,1
2,Kmeans,0.09103,0
2,Kmeans,0.069178,1
2,Kmeans,0.092568,1
2,Kmeans,0.487062,0
2,Kmeans,0.365651,1
2,Kmeans,0.228192,1
2,Kmeans,0.511044,0
2,Kmeans,0.159944,1
2,Kmeans,0.392257,1
2,Kmeans,0.376172,1
2,Kmeans,0.094716,1
2,Kmeans,0.410375,0
2,Kmeans,0.31795,1
