k,Kmeans,GMM
2,0.30048731198494333,0.6803054474551384
3,0.31303481788171633,0.09996232007576208
4,0.27723761241038825,0.1599394553011234
5,0.28309139429709296,0.1374128032927941
6,0.22049611158685417,0.11120941043737707
7,0.23944017832033157,0.09174891711191221
8,0.20794817355428316,0.06625850726698657
9,0.21128261336257737,0.06039520701812302
10,0.20297437937576587,0.06256382688759911
11,0.21134005449406001,0.011389938284094486
12,0.18284011221322988,0.028817256912442527
13,0.17610631708731234,-0.0015403543959282503
14,0.1838189656593243,0.017630471133702214
15,0.1816160914791002,0.015533042360086145
16,0.182131172113261,0.014161220909155083
18,0.18727510810011347,0.03615085372373387
20,0.17685526811919966,0.0027763148122947217
22,0.18328769266056083,-0.03693810344973476
24,0.18750125450361446,0.015179830364333072
26,0.18693786287484557,0.002129011059071958
28,0.18205164483965466,0.0165635794162424
30,0.19078334426530186,-0.008097154920175317
32,0.18940379316506814,0.017582316223144122
34,0.18258141385947485,-0.008140465506272824
36,0.19119604188289122,-0.0021137750889016252
40,0.18890512681347843,0.0049635980430963915
45,0.17438536793371076,-0.005327303931512087
50,0.1800073847482348,0.03167434786976391
55,0.18257316645379662,0.0234034747205118
60,0.1819210102513291,0.038014213788244454
