k,Kmeans,GMM
2,0.4660734149054505,0.42602892102335926
3,0.4682981090100111,0.42602892102335926
4,0.5372636262513905,0.4838709677419355
5,0.5394883203559511,0.5461624026696329
6,0.5383759733036707,0.5595105672969967
7,0.5417130144605117,0.5528364849833148
8,0.5339265850945495,0.5150166852057843
9,0.5294771968854283,0.5294771968854283
10,0.5150166852057843,0.542825361512792
11,0.542825361512792,0.5472747497219133
12,0.5317018909899889,0.5461624026696329
13,0.557285873192436,0.5061179087875417
14,0.542825361512792,0.5361512791991101
15,0.5450500556173526,0.5539488320355951
16,0.5528364849833148,0.5461624026696329
18,0.5639599555061179,0.5550611790878754
20,0.560622914349277,0.5450500556173526
22,0.5706340378197998,0.575083426028921
24,0.5739710789766407,0.5695216907675195
26,0.5672969966629589,0.5728587319243604
28,0.5839822024471635,0.5439377085650723
30,0.5884315906562848,0.5761957730812013
32,0.5717463848720801,0.5828698553948832
34,0.5672969966629589,0.5639599555061179
36,0.5839822024471635,0.5717463848720801
40,0.5850945494994438,0.5951056729699666
45,0.5917686318131257,0.5951056729699666
50,0.5906562847608454,0.5906562847608454
55,0.5917686318131257,0.592880978865406
60,0.5850945494994438,0.5917686318131257
