k,redwine BIC
2,19991.851142774558
3,19777.335164296303
4,19602.774129700665
5,19201.058728417902
6,19510.749074725576
7,19541.029105482594
8,19855.21300246946
9,19817.675933990475
10,20008.325601483935
11,20195.90596167092
12,20165.621974558642
13,20522.325438253414
14,20778.35811479562
15,20624.331422944273
16,20796.190902478917
18,21044.20263969906
20,21410.969012279525
22,22163.9524094665
24,22113.653365219605
26,22517.491859205154
28,23126.869481119393
30,22890.87575440723
32,23134.782418776223
34,23614.92740091297
36,23751.52358597611
40,23985.52600813026
45,24814.08850402511
50,25004.58414819013
55,25934.911649745532
60,26418.588379510882
