k,Kmeans,GMM
2,0.04644373507049424,0.010978136819785917
3,0.04952907983261106,0.010464924399289588
4,0.10323446177868417,0.062407345978704544
5,0.10408115991797053,0.10404300500077565
6,0.0991201312751651,0.11936351529631731
7,0.1160765493353446,0.11924177011686168
8,0.12257044834944333,0.10171145550021253
9,0.13218373443117268,0.10639496858584233
10,0.14315189335979364,0.14469909082084587
11,0.14367006435840762,0.15487326851849764
12,0.14824800721802064,0.14881825584270275
13,0.16401512758068376,0.13311048950855092
14,0.14853016154452595,0.1405896924833236
15,0.1643008929811014,0.15993435859624405
16,0.17434226937309624,0.16602051963307324
18,0.17817772150211228,0.16268052904173189
20,0.1865049423485071,0.17378290122689122
22,0.1989421387710163,0.19436549537376482
24,0.20293784245901758,0.16878583100122144
26,0.19474403207758362,0.19498485644918392
28,0.20673174038241846,0.17869542512288764
30,0.21841191710274027,0.21013123528182298
32,0.215340881795795,0.21940306613669677
34,0.21840699172139366,0.20299167051251668
36,0.22821398785741331,0.21045826983623445
40,0.23029260427309625,0.23145292948271687
45,0.24242579203889586,0.24521493198905153
50,0.25396255136936335,0.24261703757822214
55,0.2621964839335078,0.26538683642978916
60,0.263046687253961,0.26437627383813467
