k,Kmeans,GMM
2,0.5217650891487944,0.464180690745223
3,0.5540206762772791,0.49793757478613954
4,0.5945259642612059,0.574045400605969
5,0.5954054368749241,0.582778192052045
6,0.5967556131410551,0.6158884779178052
7,0.6094571795932625,0.6192651572769546
8,0.6147117187867738,0.6169438450542671
9,0.6211108110719409,0.6089716116149843
10,0.6245692442233514,0.6319890202179606
11,0.6268905564460387,0.6339213825804966
12,0.6278815115037495,0.6322590554711868
13,0.6309237435309215,0.6161783322721857
14,0.6321128896001744,0.627098657008158
15,0.6332078949389448,0.6327817842641291
16,0.6356208705044705,0.6325489098255671
18,0.6342409655866083,0.6326628696572039
20,0.6355738001392292,0.6335646387597207
22,0.636869473877186,0.6383088360985109
24,0.6379892530923992,0.6348256290706575
26,0.6375309363782079,0.6377960168561455
28,0.6379273184012922,0.6350758452227295
30,0.639500459555408,0.6366985341297309
32,0.6395400977577165,0.6382865396097124
34,0.6392031730380948,0.6378802480360509
36,0.6389331377848686,0.6386432834304883
40,0.640645012647064,0.6403873643320591
45,0.6409546861025985,0.6403625904556164
50,0.6421190582954086,0.6403551582926835
55,0.641066168546591,0.6416359677047747
60,0.6411528771141407,0.6416731285194388
