k,type,score,label
2,Kmeans,-0.010423,0
2,Kmeans,-0.034285,0
2,Kmeans,0.107936,0
2,Kmeans,0.195312,0
2,Kmeans,0.392611,1
2,Kmeans,0.047804,0
2,Kmeans,0.224434,0
2,Kmeans,0.043339,0
2,Kmeans,-0.040524,0
2,Kmeans,0.170389,0
2,Kmeans,0.239113,0
2,Kmeans,0.31694,1
2,Kmeans,0.20736,1
2,Kmeans,0.228022,0
2,Kmeans,0.190558,1
2,Kmeans,-0.00832,0
2,Kmeans,0.17538,1
2,Kmeans,0.136564,0
2,Kmeans,0.164317,0
2,Kmeans,0.266178,1
2,Kmeans,0.013111,0
2,Kmeans,0.364211,1
2,Kmeans,0.050056,0
2,Kmeans,0.078766,0
2,Kmeans,0.347861,1
2,Kmeans,0.299375,1
2,Kmeans,0.329266,1
2,Kmeans,0.121814,1
2,Kmeans,0.227882,1
2,Kmeans,0.173275,1
2,Kmeans,0.127106,0
2,Kmeans,0.22648,0
2,Kmeans,0.363705,1
2,Kmeans,0.332367,1
2,Kmeans,0.334477,1
2,Kmeans,0.209313,1
2,Kmeans,0.215392,1
2,Kmeans,0.17829,1
2,Kmeans,0.385265,1
2,Kmeans,-0.04429,0
2,Kmeans,0.413214,1
2,Kmeans,0.271728,1
2,Kmeans,0.172458,1
2,Kmeans,0.186085,1
2,Kmeans,0.070808,0
2,Kmeans,-0.054392,0
2,Kmeans,0.074152,0
2,Kmeans,-0.09649,0
2,Kmeans,0.331241,1
2,Kmeans,0.350914,1
2,Kmeans,0.090196,0
2,Kmeans,0.181132,1
2,Kmeans,0.420005,1
2,Kmeans,-0.00832,0
2,Kmeans,0.32259,1
2,Kmeans,0.248224,1
2,Kmeans,0.175241,0
2,Kmeans,0.278066,1
2,Kmeans,0.233632,1
2,Kmeans,0.266178,1
2,Kmeans,0.342395,1
2,Kmeans,0.252019,1
2,Kmeans,0.110958,1
2,Kmeans,0.39331,1
2,Kmeans,0.31531,1
2,Kmeans,0.068239,1
2,Kmeans,0.122661,0
2,Kmeans,0.287233,1
2,Kmeans,0.413323,1
2,Kmeans,0.315778,1
2,Kmeans,0.155788,1
2,Kmeans,0.173121,0
2,Kmeans,0.39851,1
2,Kmeans,0.105356,1
2,Kmeans,0.40321,1
2,Kmeans,0.078071,0
2,Kmeans,0.377779,1
2,Kmeans,0.283646,1
2,Kmeans,0.089964,0
2,Kmeans,0.0101,0
2,Kmeans,-0.057252,0
2,Kmeans,0.256977,1
2,Kmeans,0.260809,0
2,Kmeans,0.093425,1
2,Kmeans,0.172514,1
2,Kmeans,0.062081,0
2,Kmeans,0.378102,1
2,Kmeans,-0.027224,0
2,Kmeans,0.305276,1
2,Kmeans,0.149975,1
2,Kmeans,0.119047,1
2,Kmeans,0.105754,1
2,Kmeans,0.27511,0
2,Kmeans,0.2541,1
2,Kmeans,0.142588,0
2,Kmeans,0.225083,1
2,Kmeans,0.18368,0
2,Kmeans,-0.004277,0
2,Kmeans,0.242888,1
2,Kmeans,0.32259,1
2,Kmeans,0.320921,1
2,Kmeans,0.214371,0
2,Kmeans,-0.000983,0
2,Kmeans,0.331881,1
2,Kmeans,0.266357,1
2,Kmeans,0.210281,0
2,Kmeans,0.385265,1
2,Kmeans,0.406657,1
2,Kmeans,0.275772,1
2,Kmeans,0.144382,1
2,Kmeans,0.004476,0
2,Kmeans,0.214931,0
2,Kmeans,0.067809,1
2,Kmeans,0.38949,1
2,Kmeans,0.365926,1
2,Kmeans,0.289553,1
2,Kmeans,0.311892,1
2,Kmeans,0.232383,0
2,Kmeans,-0.051809,0
2,Kmeans,0.16958,1
2,Kmeans,0.064079,0
2,Kmeans,0.296878,1
2,Kmeans,0.225375,0
2,Kmeans,0.073027,0
2,Kmeans,0.304002,1
2,Kmeans,0.23869,0
2,Kmeans,0.070134,1
2,Kmeans,0.037285,0
2,Kmeans,0.417613,1
2,Kmeans,0.086088,0
2,Kmeans,0.341735,1
2,Kmeans,0.118581,0
2,Kmeans,0.233525,1
2,Kmeans,0.243,0
2,Kmeans,0.259852,1
2,Kmeans,-0.042564,0
2,Kmeans,0.032644,0
2,Kmeans,0.387523,1
2,Kmeans,0.086801,1
2,Kmeans,0.257598,1
2,Kmeans,0.374591,1
2,Kmeans,0.328106,1
2,Kmeans,0.160555,0
2,Kmeans,0.279605,0
2,Kmeans,-0.104264,0
2,Kmeans,0.27459,0
2,Kmeans,0.354927,1
2,Kmeans,0.175768,1
2,Kmeans,0.262281,1
2,Kmeans,0.363152,1
2,Kmeans,0.140586,1
2,Kmeans,0.341437,1
2,Kmeans,0.386297,1
2,Kmeans,0.199048,1
2,Kmeans,0.342184,1
2,Kmeans,0.270355,0
2,Kmeans,0.288588,1
2,Kmeans,0.137955,0
2,Kmeans,0.143942,0
2,Kmeans,0.438176,1
2,Kmeans,0.350981,1
2,Kmeans,0.305699,1
2,Kmeans,0.00756,0
2,Kmeans,0.165989,1
2,Kmeans,0.315031,1
2,Kmeans,0.148498,0
2,Kmeans,-0.053764,0
2,Kmeans,0.329592,1
2,Kmeans,0.173495,1
2,Kmeans,0.069561,0
2,Kmeans,0.102084,1
2,Kmeans,0.077635,1
2,Kmeans,0.250005,1
2,Kmeans,-0.033678,0
2,Kmeans,0.32203,0
2,Kmeans,0.164279,1
2,Kmeans,0.257304,1
2,Kmeans,0.25474,1
2,Kmeans,-0.051809,0
2,Kmeans,0.262281,1
2,Kmeans,0.236569,1
2,Kmeans,0.273155,1
2,Kmeans,0.371802,1
2,Kmeans,0.308248,1
2,Kmeans,0.171284,1
2,Kmeans,0.200094,1
2,Kmeans,-0.019398,0
2,Kmeans,0.302408,1
2,Kmeans,0.196521,0
2,Kmeans,-0.013948,0
2,Kmeans,0.297929,0
2,Kmeans,0.276369,1
2,Kmeans,0.179199,1
2,Kmeans,0.369427,1
2,Kmeans,0.174835,1
2,Kmeans,0.220523,1
2,Kmeans,0.254882,1
2,Kmeans,0.12052,1
2,Kmeans,-0.059414,0
2,Kmeans,0.312703,1
2,Kmeans,0.198507,1
2,Kmeans,0.186869,0
2,Kmeans,-0.081289,0
2,Kmeans,0.275602,1
2,Kmeans,0.22157,1
2,Kmeans,0.316822,1
2,Kmeans,0.143999,1
2,Kmeans,0.226511,0
2,Kmeans,0.250144,1
2,Kmeans,0.331881,1
2,Kmeans,0.260394,1
2,Kmeans,0.235538,1
2,Kmeans,0.213149,0
2,Kmeans,0.249932,1
2,Kmeans,0.1253,1
2,Kmeans,0.282853,1
2,Kmeans,0.199933,1
2,Kmeans,0.284971,1
2,Kmeans,0.430386,1
2,Kmeans,0.307919,1
2,Kmeans,0.377779,1
2,Kmeans,0.271012,0
2,Kmeans,0.282359,1
2,Kmeans,0.387814,1
2,Kmeans,0.28005,1
2,Kmeans,0.305894,1
2,Kmeans,0.341999,1
2,Kmeans,0.268182,1
2,Kmeans,0.290097,1
2,Kmeans,0.118551,0
2,Kmeans,0.068342,0
2,Kmeans,0.057718,0
2,Kmeans,0.40103,1
2,Kmeans,0.176456,1
2,Kmeans,0.004805,0
2,Kmeans,0.344599,1
2,Kmeans,0.145998,1
2,Kmeans,0.339425,1
2,Kmeans,0.175402,1
2,Kmeans,0.267371,1
2,Kmeans,0.224793,1
2,Kmeans,0.032715,0
2,Kmeans,-0.034849,0
2,Kmeans,0.076591,0
2,Kmeans,0.146143,1
2,Kmeans,0.36555,1
2,Kmeans,0.220614,1
2,Kmeans,-0.032437,0
2,Kmeans,0.027346,0
2,Kmeans,0.268422,1
2,Kmeans,0.097295,0
2,Kmeans,0.269831,1
2,Kmeans,0.331881,1
2,Kmeans,0.245854,0
2,Kmeans,0.24603,0
2,Kmeans,0.374623,1
2,Kmeans,0.2981,1
2,Kmeans,0.259603,1
2,Kmeans,0.241345,1
2,Kmeans,0.068982,0
2,Kmeans,0.207005,1
2,Kmeans,0.265356,0
2,Kmeans,0.314325,1
2,Kmeans,0.413863,1
2,Kmeans,0.203743,1
2,Kmeans,0.267371,1
2,Kmeans,0.258845,1
2,Kmeans,0.285183,1
2,Kmeans,0.385805,1
2,Kmeans,0.133745,1
2,Kmeans,0.271255,1
2,Kmeans,0.328106,1
2,Kmeans,0.299417,0
2,Kmeans,0.207699,1
2,Kmeans,0.346198,1
2,Kmeans,0.347216,1
2,Kmeans,0.316487,1
2,Kmeans,-0.013408,0
2,Kmeans,0.156438,0
2,Kmeans,0.224771,1
2,Kmeans,-0.016549,0
2,Kmeans,0.225534,0
2,Kmeans,0.066769,0
2,Kmeans,0.334477,1
2,Kmeans,0.16233,1
2,Kmeans,0.139901,1
2,Kmeans,0.164279,1
2,Kmeans,0.114551,1
2,Kmeans,-0.041064,0
2,Kmeans,0.428885,1
2,Kmeans,0.238089,0
2,Kmeans,0.311245,1
2,Kmeans,0.256789,1
2,Kmeans,0.269254,1
2,Kmeans,0.038628,0
2,Kmeans,-0.055804,0
2,Kmeans,0.336731,1
2,Kmeans,0.282886,0
2,Kmeans,0.339461,1
2,Kmeans,0.235681,0
2,Kmeans,-0.057967,0
2,Kmeans,0.056252,0
2,Kmeans,0.055242,0
2,Kmeans,0.255535,1
2,Kmeans,0.22164,1
2,Kmeans,0.2814,1
2,Kmeans,0.383396,1
2,Kmeans,0.327501,1
2,Kmeans,0.241287,1
2,Kmeans,0.259534,0
2,Kmeans,0.148959,0
2,Kmeans,0.253745,0
2,Kmeans,0.376404,1
2,Kmeans,0.260889,1
2,Kmeans,0.313583,1
2,Kmeans,-0.003302,0
2,Kmeans,0.198615,1
2,Kmeans,0.402926,1
2,Kmeans,0.366222,1
2,Kmeans,0.325493,1
2,Kmeans,0.177683,0
2,Kmeans,0.094835,0
2,Kmeans,0.405111,1
2,Kmeans,0.267314,0
2,Kmeans,0.357867,1
2,Kmeans,0.053376,0
2,Kmeans,0.178128,1
2,Kmeans,0.005793,0
2,Kmeans,0.105095,0
2,Kmeans,0.331295,1
2,Kmeans,0.08328,0
2,Kmeans,-0.024641,0
2,Kmeans,-0.012932,0
2,Kmeans,0.220469,0
2,Kmeans,0.257453,1
2,Kmeans,0.161081,1
2,Kmeans,0.414807,1
2,Kmeans,0.360682,1
2,Kmeans,0.361009,1
2,Kmeans,0.046989,0
2,Kmeans,0.208685,0
2,Kmeans,0.389481,1
2,Kmeans,0.219254,1
2,Kmeans,0.214975,0
2,Kmeans,0.38482,1
2,Kmeans,0.210806,0
2,Kmeans,0.305988,1
2,Kmeans,0.116939,0
2,Kmeans,-0.046018,0
2,Kmeans,0.211718,1
2,Kmeans,0.235184,1
2,Kmeans,0.241363,0
2,Kmeans,0.274894,0
2,Kmeans,0.25474,1
2,Kmeans,0.271877,1
2,Kmeans,0.339108,1
2,Kmeans,0.271427,1
2,Kmeans,0.290031,1
2,Kmeans,0.120604,1
2,Kmeans,0.085377,0
2,Kmeans,0.253796,0
2,Kmeans,0.263677,0
2,Kmeans,0.17239,0
2,Kmeans,0.319105,1
2,Kmeans,0.233416,1
2,Kmeans,0.223079,1
2,Kmeans,0.003156,0
2,Kmeans,0.218472,0
2,Kmeans,0.289555,1
2,Kmeans,0.401124,1
2,Kmeans,0.278015,1
2,Kmeans,0.117585,1
2,Kmeans,0.075705,0
2,Kmeans,0.405418,1
2,Kmeans,0.274398,0
2,Kmeans,0.228397,1
2,Kmeans,0.396963,1
2,Kmeans,0.253291,1
2,Kmeans,0.214975,0
2,Kmeans,0.222173,1
2,Kmeans,0.099948,1
2,Kmeans,0.150786,0
2,Kmeans,0.216156,1
2,Kmeans,0.300871,1
2,Kmeans,0.256393,1
2,Kmeans,0.083093,1
2,Kmeans,-0.072601,0
2,Kmeans,0.304097,0
2,Kmeans,0.259015,1
2,Kmeans,0.191494,1
2,Kmeans,0.09705,0
2,Kmeans,0.038628,0
2,Kmeans,0.289488,0
2,Kmeans,0.167825,0
2,Kmeans,0.252447,1
2,Kmeans,0.336291,1
2,Kmeans,0.388755,1
2,Kmeans,0.245854,0
2,Kmeans,0.270195,1
2,Kmeans,0.258732,1
2,Kmeans,0.258628,1
2,Kmeans,0.352625,1
2,Kmeans,0.147939,1
2,Kmeans,0.275356,1
2,Kmeans,0.20159,0
2,Kmeans,0.170615,0
2,Kmeans,0.290504,0
2,Kmeans,0.2384,0
2,Kmeans,0.192709,1
2,Kmeans,0.39071,1
2,Kmeans,0.241046,0
2,Kmeans,0.385265,1
2,Kmeans,-0.071942,0
2,Kmeans,0.190749,1
2,Kmeans,0.274547,1
2,Kmeans,0.33535,1
2,Kmeans,0.273277,0
2,Kmeans,0.171408,1
2,Kmeans,0.033716,0
2,Kmeans,0.38428,1
2,Kmeans,0.333806,1
2,Kmeans,0.150631,1
2,Kmeans,0.257453,1
2,Kmeans,0.344874,1
2,Kmeans,0.300871,1
2,Kmeans,0.251403,1
2,Kmeans,0.222382,0
2,Kmeans,-0.075923,0
2,Kmeans,0.240629,1
2,Kmeans,0.140486,1
2,Kmeans,0.188575,1
2,Kmeans,0.230274,1
2,Kmeans,-0.02739,0
2,Kmeans,0.026435,0
2,Kmeans,0.310274,0
2,Kmeans,0.352625,1
2,Kmeans,0.387814,1
2,Kmeans,0.246767,1
2,Kmeans,0.232157,1
2,Kmeans,0.019448,0
2,Kmeans,0.380957,1
2,Kmeans,0.37502,1
2,Kmeans,0.351456,1
2,Kmeans,0.284277,0
2,Kmeans,0.156128,1
2,Kmeans,0.338247,1
2,Kmeans,0.25242,1
2,Kmeans,0.208935,1
2,Kmeans,0.296861,1
2,Kmeans,0.202844,1
2,Kmeans,0.336929,1
2,Kmeans,0.264164,0
2,Kmeans,0.269935,1
2,Kmeans,0.286487,0
2,Kmeans,0.178821,1
2,Kmeans,0.03976,0
2,Kmeans,0.254752,1
2,Kmeans,0.220035,1
2,Kmeans,0.232157,1
2,Kmeans,0.338247,1
2,Kmeans,0.105143,0
2,Kmeans,0.3762,1
2,Kmeans,-0.031911,0
2,Kmeans,0.417754,1
2,Kmeans,0.241227,0
2,Kmeans,0.37109,1
2,Kmeans,0.393285,1
2,Kmeans,0.224211,1
2,Kmeans,0.187295,0
2,Kmeans,0.226511,0
2,Kmeans,0.302044,0
2,Kmeans,0.102066,0
2,Kmeans,0.128828,1
2,Kmeans,0.368653,1
2,Kmeans,0.404586,1
2,Kmeans,0.364439,1
2,Kmeans,0.304368,1
2,Kmeans,0.318145,1
2,Kmeans,0.20789,1
2,Kmeans,0.303048,1
2,Kmeans,0.164685,1
2,Kmeans,0.304002,1
2,Kmeans,0.307856,1
2,Kmeans,0.167853,0
2,Kmeans,0.017158,0
2,Kmeans,0.382795,1
2,Kmeans,0.406788,1
2,Kmeans,0.316107,1
2,Kmeans,-0.023007,0
2,Kmeans,0.188575,1
2,Kmeans,-0.037604,0
2,Kmeans,0.175098,0
2,Kmeans,0.095667,1
2,Kmeans,0.254766,1
2,Kmeans,0.272952,1
2,Kmeans,0.156407,0
2,Kmeans,0.313583,1
2,Kmeans,0.351996,1
2,Kmeans,-0.011322,0
2,Kmeans,0.226069,1
2,Kmeans,0.309319,0
2,Kmeans,0.169416,0
2,Kmeans,0.080873,1
2,Kmeans,0.399726,1
2,Kmeans,0.357876,1
2,Kmeans,0.336851,1
2,Kmeans,0.280503,0
2,Kmeans,0.274398,0
2,Kmeans,0.277795,1
2,Kmeans,0.100447,0
2,Kmeans,-0.05295,0
2,Kmeans,0.116545,0
2,Kmeans,0.322565,1
2,Kmeans,0.374338,1
2,Kmeans,0.410762,1
2,Kmeans,0.033493,0
2,Kmeans,0.431243,1
2,Kmeans,0.161288,0
2,Kmeans,0.349659,1
2,Kmeans,0.174801,0
2,Kmeans,0.071058,0
2,Kmeans,0.294823,0
2,Kmeans,-0.033403,0
2,Kmeans,0.133179,0
2,Kmeans,0.168542,1
2,Kmeans,0.087599,1
2,Kmeans,0.409436,1
2,Kmeans,0.306381,1
2,Kmeans,0.369452,1
2,Kmeans,0.115156,0
2,Kmeans,0.236569,1
2,Kmeans,0.120135,1
2,Kmeans,0.102776,0
2,Kmeans,0.349585,1
2,Kmeans,0.27448,1
2,Kmeans,0.113147,0
2,Kmeans,0.107936,0
