k,Kmeans,GMM
2,0.21702069928289272,0.22940532289383708
3,0.19901963092158007,0.1773988202707615
4,0.17688779705933044,0.15731937347322697
5,0.1944048353053536,0.039665736518023326
6,0.19570864072394092,0.08195070096857489
7,0.18985266669276893,0.08126137686052176
8,0.1489729624664708,0.09637669032716892
9,0.15498903273285275,0.11327653528847056
10,0.1493483809318195,0.08293225658061892
11,0.14786316226795268,0.08871150070264494
12,0.14297087336784065,0.061363196469313784
13,0.14148691672737695,0.04682365309016994
14,0.1376881005018452,0.06758281060562853
15,0.15000960343456515,0.0613867032593455
16,0.1429165310737697,0.07783971713228524
18,0.15130183372084893,0.05121388601168674
20,0.15502065743571533,0.08304094299160966
22,0.1583739934374947,0.0863924516550225
24,0.15240206798938352,0.06284908238242459
26,0.15875595426042044,0.0587420705977943
28,0.1494459213597088,0.07774598555409364
30,0.15761441756310524,0.07320086094638623
32,0.1580999720190448,0.08240793554030099
34,0.16368163432006458,0.06851521636946901
36,0.16342862460241322,0.06660126385387333
40,0.15267309507829682,0.10948275248952588
45,0.1581215294065619,0.12283642350180672
50,0.1566251217290541,0.1255414238900749
55,0.16519279408608303,0.14381944487467477
60,0.16642672051037485,0.13443451258583186
