k,Kmeans,GMM
2,0.60741885625966,0.6290571870170015
3,0.6321483771251932,0.6398763523956723
4,0.6321483771251932,0.6367851622874807
5,0.6352395672333848,0.6445131375579598
6,0.633693972179289,0.642967542503864
7,0.615146831530139,0.6537867078825348
8,0.6321483771251932,0.652241112828439
9,0.633693972179289,0.642967542503864
10,0.6136012364760433,0.6414219474497682
11,0.6275115919629057,0.6506955177743431
12,0.6290571870170015,0.6568778979907264
13,0.6367851622874807,0.6553323029366306
14,0.6491499227202473,0.6661514683153014
15,0.633693972179289,0.6692426584234931
16,0.6414219474497682,0.6816074188562596
18,0.652241112828439,0.6723338485316847
20,0.6491499227202473,0.6615146831530139
22,0.6460587326120556,0.6723338485316847
24,0.6646058732612056,0.6769706336939721
26,0.652241112828439,0.6491499227202473
28,0.6553323029366306,0.6676970633693973
30,0.6676970633693973,0.6661514683153014
32,0.6630602782071098,0.678516228748068
34,0.6599690880989181,0.6769706336939721
36,0.6630602782071098,0.678516228748068
40,0.6646058732612056,0.6754250386398764
45,0.6615146831530139,0.6893353941267388
50,0.6646058732612056,0.6646058732612056
55,0.678516228748068,0.6661514683153014
60,0.6707882534775889,0.652241112828439
