k,diabetic BIC
2,8169.706941064659
3,8017.380458484252
4,7437.161170512314
5,7315.289615461738
6,7420.470218094847
7,7472.198874081278
8,7378.734983598779
9,7494.121449985441
10,7575.835789634902
11,7721.342289477507
12,7705.043673804439
13,7868.024476660583
14,7833.416777987869
15,7987.827323210919
16,7956.318104918061
18,8058.133404715266
20,8124.004551873682
22,8467.557894750902
24,8642.64821508432
26,8698.079871975162
28,8817.0160718072
30,8923.96542099437
32,9094.056243394323
34,9351.90246934134
36,9542.260696361289
40,9867.502593023242
45,10043.657349044135
50,10549.651369748091
55,10697.128966939461
60,11229.231334121168
