k,Kmeans,GMM
2,0.035931933844717656,0.08195780072705257
3,0.03985162838918103,0.055605865055244605
4,0.03799586628976124,0.05720410763020372
5,0.04147287634470662,0.050213653748856245
6,0.03506331999845574,0.04741899514823864
7,0.027403381281345392,0.045038810905196916
8,0.03127853093309375,0.04773219337144265
9,0.03449705344953345,0.040891193507244114
10,0.025991195920978077,0.037281242500200686
11,0.03022006084204744,0.044340625278144065
12,0.027284766402719637,0.03928946311018893
13,0.028831166898890873,0.03985955064359594
14,0.02972566117158969,0.046719434119484475
15,0.023836192016591283,0.044549103242628015
16,0.02664163719411975,0.043899640561172
18,0.029211929807696983,0.0456683804881661
20,0.02625686214382963,0.03894797611684458
22,0.026363401520693903,0.04043595235876934
24,0.031515089233241665,0.042282709261488284
26,0.027624645520640513,0.03461070335739088
28,0.026022512468926676,0.03471715443819924
30,0.03129765514117543,0.03492042837919212
32,0.03130085223342708,0.03988201051946493
34,0.030701257090617957,0.03696206541515348
36,0.02951154407592672,0.03630568309372816
40,0.031022637087954726,0.032402393700657534
45,0.02881212848655405,0.03554897847642387
50,0.02930956513899406,0.02984657935349218
55,0.03239354200877581,0.030239193269825063
60,0.028989620212459037,0.026804663194129538
