k,Kmeans,GMM
2,0.035824453825320964,0.07224699338452253
3,0.06046386017282085,0.07409388327631425
4,0.0721070026945406,0.10193770941868029
5,0.08059186336921427,0.10755012234156205
6,0.0780191049835548,0.10958030987409573
7,0.06698775666601209,0.1178207199014248
8,0.08258381712354426,0.12621589223155247
9,0.09320855596100053,0.10657855149613207
10,0.07819367080841605,0.10315476039174827
11,0.09273849632224904,0.12801538147686523
12,0.08924337797112193,0.12127261870243815
13,0.09618201232153537,0.12418908269756364
14,0.10323078968784781,0.1524510792821934
15,0.08549196162668253,0.1458093415304376
16,0.0984025097245229,0.1505397039094462
18,0.1097451803603608,0.16164890959717143
20,0.10475169155729629,0.14692154633420235
22,0.10760731114202854,0.15572360159898904
24,0.1313450353527627,0.16614551927148466
26,0.11894124714636095,0.13850471150359042
28,0.1184829594405931,0.14480299991559942
30,0.1405816154971152,0.14898409552942996
32,0.1429301593311017,0.17659005607516817
34,0.14266924676374537,0.16916969238461277
36,0.13991040876381786,0.16627051903397527
40,0.15103888755228462,0.1558161617011343
45,0.14481911331272465,0.17614846319008218
50,0.1483345390219551,0.15171547944214805
55,0.1733884976726783,0.15410160257302857
60,0.15701571567680508,0.14233136710028904
