k,diabetic log-likelihood
2,-6.108454979126833
3,-5.885699372662439
4,-5.3322692643498755
5,-5.133049150566959
6,-5.109294382752886
7,-5.044232082754363
8,-4.8669653418988625
9,-4.851097640354924
10,-4.8092082025380325
11,-4.8166171883634465
12,-4.698983581054646
13,-4.71989666503581
14,-4.588113843662368
15,-4.6024038537385135
16,-4.4730155303402315
18,-4.341621987394456
20,-4.1824508921775925
22,-4.237871911117455
24,-4.163105122836451
26,-3.995866415357165
28,-3.8777038616191435
30,-3.7502778993456736
32,-3.671647511425208
34,-3.660834282351002
36,-3.597866494600547
40,-3.4290603183438844
45,-3.0400018910628166
50,-2.9058424318521223
55,-2.4946223671448395
60,-2.380639373527461
