k,Kmeans,GMM
2,0.5223393514242921,0.5325890870461908
3,0.5214493183590853,0.5242486159028811
4,0.5197362439647624,0.5205545001698719
5,0.5187840042874711,0.5163723017882008
6,0.5156928141792795,0.5156066819471626
7,0.5103047645479732,0.5147166488819558
8,0.5096300620630584,0.5144821778056379
9,0.5089553595781434,0.5119221364621664
10,0.5056488388896598,0.5094482273508117
11,0.5067111364191003,0.5086251860216957
12,0.5049645661567319,0.5132906819280222
13,0.5052612438451343,0.5094338719787923
14,0.5058833099659777,0.5097879711552725
15,0.5042659380517847,0.5099171695034477
16,0.5052851694651667,0.510400467028103
18,0.5043807810279404,0.5077686488245343
20,0.5041558801996354,0.5075341777482163
22,0.5034524669706816,0.5066967810470808
24,0.5044764835080701,0.5059694421980946
26,0.5029548140740068,0.5046774587163426
28,0.5023614586972022,0.5042133016877133
30,0.5032754173824414,0.504112814083577
32,0.5028256157258315,0.5041893760676808
34,0.502390169441241,0.503868772759246
36,0.5020169297687349,0.5031797149023117
40,0.501959508280657,0.5027251281216952
45,0.5012465248036903,0.5028256157258315
50,0.5014187892679238,0.5011221115795216
55,0.5009546322392945,0.5019547231566506
60,0.5005526818227495,0.5014666405079887
