k,type,score,label
2,Kmeans,0.60781,0
2,Kmeans,0.628331,0
2,Kmeans,0.428713,1
2,Kmeans,0.386274,1
2,Kmeans,0.37885,0
2,Kmeans,0.519605,1
2,Kmeans,0.624045,0
2,Kmeans,0.30518,1
2,Kmeans,0.271516,1
2,Kmeans,0.616555,0
2,Kmeans,0.377543,0
2,Kmeans,0.167965,1
2,Kmeans,0.307152,1
2,Kmeans,0.307079,0
2,Kmeans,0.193559,1
2,Kmeans,0.4864,1
2,Kmeans,0.325117,0
2,Kmeans,0.002743,1
2,Kmeans,0.115705,0
2,Kmeans,-0.004231,1
2,Kmeans,0.373177,1
2,Kmeans,0.483416,0
2,Kmeans,0.336563,0
2,Kmeans,0.140497,1
2,Kmeans,-0.026825,1
2,Kmeans,0.58253,0
2,Kmeans,0.50014,0
2,Kmeans,0.571584,0
2,Kmeans,0.272208,0
2,Kmeans,0.587508,0
2,Kmeans,0.512952,1
2,Kmeans,0.597032,0
2,Kmeans,0.611734,0
2,Kmeans,0.575831,0
2,Kmeans,0.487823,1
2,Kmeans,0.503113,1
2,Kmeans,0.129023,1
2,Kmeans,0.635766,0
2,Kmeans,0.137906,1
2,Kmeans,0.587999,0
2,Kmeans,0.535263,0
2,Kmeans,0.480728,1
2,Kmeans,0.471348,1
2,Kmeans,0.249198,0
2,Kmeans,0.438313,1
2,Kmeans,0.348557,0
2,Kmeans,0.376285,1
2,Kmeans,-0.02678,1
2,Kmeans,0.387169,0
2,Kmeans,0.11203,1
2,Kmeans,0.393336,0
2,Kmeans,0.206326,1
2,Kmeans,0.404128,0
2,Kmeans,0.276877,1
2,Kmeans,0.455358,1
2,Kmeans,0.28581,0
2,Kmeans,0.623403,0
2,Kmeans,0.560286,0
2,Kmeans,0.628422,0
2,Kmeans,0.400138,1
2,Kmeans,0.421911,1
2,Kmeans,0.171123,1
2,Kmeans,0.633135,0
2,Kmeans,0.630994,0
2,Kmeans,0.566804,0
2,Kmeans,0.16089,1
2,Kmeans,0.482774,1
2,Kmeans,0.360044,1
2,Kmeans,0.439515,1
2,Kmeans,0.158388,1
2,Kmeans,0.424935,1
2,Kmeans,0.568786,0
2,Kmeans,0.627827,0
2,Kmeans,-0.0472,1
2,Kmeans,0.358372,1
2,Kmeans,0.269422,0
2,Kmeans,0.476871,1
2,Kmeans,0.055942,1
2,Kmeans,0.135118,1
2,Kmeans,0.252851,1
2,Kmeans,-0.065638,1
2,Kmeans,0.629524,0
2,Kmeans,0.390301,1
2,Kmeans,0.556663,0
2,Kmeans,0.110529,0
2,Kmeans,0.554196,0
2,Kmeans,0.557633,0
2,Kmeans,0.218626,1
2,Kmeans,0.6187,0
2,Kmeans,0.17597,1
2,Kmeans,0.368155,1
2,Kmeans,0.472426,0
2,Kmeans,0.473422,0
2,Kmeans,0.55199,0
2,Kmeans,0.492449,1
2,Kmeans,0.186714,1
2,Kmeans,0.615037,0
2,Kmeans,0.325465,1
2,Kmeans,0.231149,1
2,Kmeans,0.423915,1
2,Kmeans,0.43073,0
2,Kmeans,0.3994,1
