k,Kmeans,GMM
2,0.39799034322783,0.16850068622251402
3,0.3239638755342047,0.1343921052035895
4,0.3489941564051758,0.07789498367194692
5,0.36033616761445336,0.05631056052058663
6,0.3142472918233919,0.022128691973045896
7,0.3090858992695777,0.03811210288537759
8,0.2838049458532214,0.03155838267961791
9,0.28937081853750357,0.04604011677961783
10,0.2230927184424372,0.0384232074671283
11,0.24964904206576188,0.0318248244028563
12,0.2509829902154021,-0.09757850292887443
13,0.25842936400171557,-0.049949510344947726
14,0.23708281775929002,-0.037173029967925646
15,0.2388501894561087,0.002475801150811541
16,0.24484568392230976,-0.007568914158237594
18,0.24588288203195652,-0.04063170965879421
20,0.24288729331828535,-0.03405247661392331
22,0.24229319425983709,-0.04824879624198308
24,0.24240207820837995,-0.0016281112225941107
26,0.239437196851874,-0.04443162290736063
28,0.22299111752678685,-0.024066045457176118
30,0.24118622793817018,0.005144063250939989
32,0.23703211666515353,-0.0458981524608649
34,0.2275443448173046,-0.0030936535719735636
36,0.2284589452304414,-0.04748824703368496
40,0.2430923099290821,0.06382389151505544
45,0.2351714472201505,0.03778862770913051
50,0.23698577265836143,0.024198902067996342
55,0.22856816645554834,0.037096758966525964
60,0.2271855967229816,0.0544929416394439
