k,redwine log-likelihood
2,-6.690859951156839
3,-5.8831244723443845
4,-5.496837541523829
5,-5.323077398788553
6,-5.142577167636011
7,-4.927368314087218
8,-4.870400010507111
9,-4.740662074735205
10,-4.6727422710202084
11,-4.485665019917126
12,-4.442424352482391
13,-4.346984375361783
14,-4.236451251974281
15,-4.158394216373191
16,-4.007187406542227
18,-3.9190741346751916
20,-3.644498624884741
22,-3.234611255126525
24,-2.8861259669563055
26,-2.7638418798615296
28,-2.534692339415245
30,-2.4781256461463568
32,-2.204545698515342
34,-2.0844224317002786
36,-1.8290178657060547
40,-1.501816974201726
45,-0.7583686247224029
50,0.08381789878631207
55,0.9448756511377905
60,1.3518593772080136
