k,Kmeans,GMM
2,0.5420152557531135,0.4197660850586274
3,0.5799291962611266,0.531872830737444
4,0.5949917131383299,0.5800084726657434
5,0.60295651441468,0.6133169495430458
6,0.6135547787568965,0.607958360068475
7,0.6142360603590725,0.6169141164025359
8,0.6172336994086476,0.6173228853638415
9,0.6222652737141738,0.6210439216055453
10,0.6215121478703137,0.6252207971737962
11,0.6231125402885166,0.621487373993871
12,0.6283472603808736,0.622463464725716
13,0.6308593314521703,0.6235981082667948
14,0.6333094678323601,0.6250870182410052
15,0.6313151707787172,0.631384537632757
16,0.6318255126334383,0.6329477692362957
18,0.6331707341242806,0.6304926780808173
20,0.6349049054752745,0.6357794233137042
22,0.6354771820211024,0.6342285786483869
24,0.6369487502818029,0.6363839058989077
26,0.6366440316015568,0.6361881922750099
28,0.6384921627841873,0.6365201622193429
30,0.6381874441039412,0.6372856750014245
32,0.6391858313245848,0.6365796195228056
34,0.6389826855377542,0.639312178094443
36,0.6391585800604979,0.6399934596966191
40,0.6394732082913209,0.6404195703714347
45,0.639777926971567,0.6403873643320591
50,0.640189173320517,0.6409893695296184
55,0.6407763141922106,0.6405260980401386
60,0.6418960934074237,0.6413510681256829
