k,redwine sse (left)
2,6187.238443683253
3,5284.398969636608
4,4665.036878115869
5,4248.139973026051
6,3891.044878986371
7,3552.5527521345994
8,3280.333689526534
9,3036.103728891703
10,2892.9994085185413
11,2773.3531831406417
12,2646.6020620597674
13,2563.2627309641916
14,2471.895901660933
15,2399.367898509433
16,2354.487029388238
18,2222.2143769298937
20,2114.7998467365082
22,2016.9545753467712
24,1943.7539548529921
26,1853.4034671145382
28,1788.111967824574
30,1742.7715324618043
32,1666.7933075129035
34,1608.7940156442687
36,1566.3521261710976
40,1473.1955683674041
45,1385.965022165576
50,1275.1530328718038
55,1198.932087088658
60,1148.2226954955117
