k,Kmeans,GMM
2,0.5434530706836617,0.5307068366164542
3,0.5504055619930475,0.5307068366164542
4,0.578215527230591,0.59675550405562
5,0.5758980301274623,0.578215527230591
6,0.5944380069524913,0.6060254924681344
7,0.5979142526071842,0.5990730011587485
8,0.6199304750869061,0.6025492468134415
9,0.6187717265353418,0.6338354577056778
10,0.6292004634994206,0.6187717265353418
11,0.6129779837775203,0.6187717265353418
12,0.6152954808806489,0.6465816917728853
13,0.6187717265353418,0.6465816917728853
14,0.6234067207415991,0.6326767091541136
15,0.6152954808806489,0.6326767091541136
16,0.608342989571263,0.6187717265353418
18,0.6222479721900348,0.6465816917728853
20,0.6222479721900348,0.6373117033603708
22,0.6234067207415991,0.6303592120509849
24,0.641946697566628,0.626882966396292
26,0.6373117033603708,0.6176129779837776
28,0.6303592120509849,0.6199304750869061
30,0.645422943221321,0.6199304750869061
32,0.6442641946697567,0.6593279258400927
34,0.6500579374275782,0.6373117033603708
36,0.6488991888760139,0.6187717265353418
40,0.641946697566628,0.6373117033603708
45,0.6593279258400927,0.6685979142526072
50,0.6709154113557358,0.6593279258400927
55,0.6732329084588644,0.6558516801853997
60,0.6848203939745076,0.6674391657010429
