k,Kmeans,GMM
2,0.005695103983399955,0.01987949224250984
3,0.016002597022687453,0.009498237201305992
4,0.018157320249651655,0.036690063058854236
5,0.02792012720611061,0.053696773877441525
6,0.03304470372620065,0.05317521738028183
7,0.03951836631485598,0.04621529430440934
8,0.0412930206261494,0.05183527602928031
9,0.04024801136142996,0.06365524365019584
10,0.03845374015282833,0.046333171947717154
11,0.03613306118082912,0.04800987839341564
12,0.03568553393780156,0.058284723731911584
13,0.034797508933448726,0.057193450327813956
14,0.03331825170902585,0.046878183801726425
15,0.03505522642977384,0.04169775922911989
16,0.033503703404285136,0.04060537905137283
18,0.029901817633344995,0.04554162798487886
20,0.028536182549212426,0.04060317474533245
22,0.03255745385222176,0.04381806266191862
24,0.032030461650146565,0.04510594039333508
26,0.033019877273678055,0.03715335788973314
28,0.031913979551725785,0.03432018418574011
30,0.03249953149455837,0.03328817200346978
32,0.03453107837496538,0.04258963676918262
34,0.031209700467848978,0.03519935573028834
36,0.03682273076504567,0.03845702536846623
40,0.031630031838476895,0.03348967934310352
45,0.032770146744155536,0.04435174500895524
50,0.03613507811380985,0.04204947729977341
55,0.0325155641080017,0.0347196245770454
60,0.03512370897187023,0.03517599993340051
