k,diabetic BIC
2,13825.673080757953
3,-219.4340965415231
4,-14678.931374184767
5,-24378.94010416804
6,-16167.274538937689
7,-18965.66154355189
8,-18581.66510581958
9,-25346.34135651854
10,-27563.202748134216
11,-29240.29403357789
12,-25844.494119015413
13,-25438.432747251
14,-23360.659468376267
15,-28542.19159124591
16,-26277.99235524702
18,-27648.582789454304
20,-24533.918384381344
22,-23816.459376424456
24,-22523.666756477476
26,-20749.438975742232
28,-19550.78533696483
30,-16923.363713870356
32,-12856.312753708386
34,-12286.649878381868
36,-11389.639181163453
40,-6082.206666732651
45,-2069.5947555328967
50,4054.507909706881
55,5149.252853213315
60,9740.866954805068
