k,diabetic log-likelihood
2,-6.369095785164541
3,2.5908081907491303
4,11.790799130940767
5,18.233264840738446
6,14.298167227700883
7,16.742010848640465
8,17.342063367409416
9,22.083872947841908
10,24.1907955879017
11,25.984989313609226
12,24.840080374191523
13,25.427349037785444
14,25.046070825880918
15,28.870647423793528
16,28.381358807993195
18,30.82050400177206
20,30.66100792134453
22,31.890390981772196
24,32.78644054741997
26,33.40355896544998
28,34.35415023513575
30,34.47695008864709
32,33.765665737600195
34,35.080678075333985
36,36.20603350583029
40,36.42116434365143
45,38.209011107520396
50,38.77351444494671
55,42.251898270051676
60,43.704286059185996
