k,Kmeans,GMM
2,0.5032006732033348,0.5000658685371538
3,0.5027624457928824,0.4996249526149809
4,0.5048863700521302,0.5155355649772955
5,0.5035125405629206,0.5087067452070557
6,0.5073517352998901,0.5100913287431477
7,0.5065962635064107,0.5073382927412872
8,0.5092068083870812,0.5086045817616742
9,0.5084701561756458,0.5118496154083984
10,0.5079566504370175,0.5060746922326208
11,0.5058058410605641,0.5052063029468777
12,0.5058381032012109,0.5107876532787745
13,0.5055880716111982,0.5104838514543504
14,0.5050826314077316,0.5106639817396283
15,0.5033996230706568,0.5056149567284038
16,0.5041416523055332,0.5029371990547192
18,0.503025919941498,0.5064161332211328
20,0.5028780517968668,0.5051498442007458
22,0.5032813285549519,0.5030232314297775
24,0.5036953593599192,0.5025823155076045
26,0.502802773468691,0.5016655330108911
28,0.5027947079335292,0.5016735985460529
30,0.5023753001051208,0.5016547789640089
32,0.5025581189021193,0.5050880084311727
34,0.5020473016752116,0.5022354974956513
36,0.502361857546518,0.5012299941121593
40,0.5013563541630259,0.501579500635833
45,0.5008643565181622,0.5039534564850936
50,0.5012084860183948,0.5019316956712273
55,0.5016467134288471,0.5008240288423538
60,0.5014612061201281,0.5010848144792487
