k,type,score,label
2,Kmeans,0.478296,1
2,Kmeans,0.484513,1
2,Kmeans,-0.019903,0
2,Kmeans,0.155546,0
2,Kmeans,0.109147,0
2,Kmeans,0.337853,0
2,Kmeans,0.4034,0
2,Kmeans,-0.07901,0
2,Kmeans,0.291436,1
2,Kmeans,0.331512,0
2,Kmeans,0.173505,0
2,Kmeans,0.324962,0
2,Kmeans,0.500061,1
2,Kmeans,0.381254,0
2,Kmeans,0.417726,1
2,Kmeans,-0.039023,0
2,Kmeans,0.316193,1
2,Kmeans,0.268996,0
2,Kmeans,0.498675,1
2,Kmeans,0.450448,1
2,Kmeans,0.496475,1
2,Kmeans,0.108948,1
2,Kmeans,-0.002709,0
2,Kmeans,0.3079,0
2,Kmeans,0.424729,1
2,Kmeans,0.37882,1
2,Kmeans,0.300523,0
2,Kmeans,0.075802,0
2,Kmeans,0.337921,1
2,Kmeans,0.405163,1
2,Kmeans,0.388465,1
2,Kmeans,0.089449,0
2,Kmeans,0.35331,0
2,Kmeans,0.346427,0
2,Kmeans,0.523695,1
2,Kmeans,0.301868,1
2,Kmeans,0.36043,1
2,Kmeans,0.452787,1
2,Kmeans,0.481324,1
2,Kmeans,0.371109,0
2,Kmeans,0.472061,1
2,Kmeans,0.398192,0
2,Kmeans,0.285237,0
2,Kmeans,0.043641,0
2,Kmeans,0.19355,0
2,Kmeans,0.208593,1
2,Kmeans,0.287753,0
2,Kmeans,0.215456,0
2,Kmeans,0.37326,0
2,Kmeans,-0.048798,0
2,Kmeans,0.389266,1
2,Kmeans,0.169341,0
2,Kmeans,0.117611,1
2,Kmeans,0.520912,1
2,Kmeans,0.390039,0
2,Kmeans,0.242918,0
2,Kmeans,0.212883,0
2,Kmeans,0.342933,1
2,Kmeans,0.299587,0
2,Kmeans,0.257139,0
2,Kmeans,0.004515,0
2,Kmeans,0.51199,1
2,Kmeans,0.088599,1
2,Kmeans,0.204761,0
2,Kmeans,0.106668,1
2,Kmeans,0.428837,1
2,Kmeans,0.397758,1
2,Kmeans,0.293134,0
2,Kmeans,0.405628,0
2,Kmeans,0.324691,0
2,Kmeans,0.107298,0
2,Kmeans,0.401824,0
2,Kmeans,0.345289,1
2,Kmeans,0.277477,0
2,Kmeans,0.258377,0
2,Kmeans,0.242792,0
2,Kmeans,0.133035,0
2,Kmeans,0.323878,1
2,Kmeans,-0.003296,0
2,Kmeans,0.086884,0
2,Kmeans,0.330663,0
2,Kmeans,0.310834,0
2,Kmeans,0.413622,1
2,Kmeans,-0.071571,0
2,Kmeans,0.178837,0
2,Kmeans,0.124492,1
2,Kmeans,0.366949,1
2,Kmeans,0.300577,0
2,Kmeans,0.348746,0
2,Kmeans,0.348364,0
2,Kmeans,0.1863,0
2,Kmeans,0.300825,0
2,Kmeans,0.464257,1
2,Kmeans,0.119537,0
2,Kmeans,0.295272,0
2,Kmeans,0.319575,0
2,Kmeans,0.389192,0
2,Kmeans,0.369621,0
2,Kmeans,0.308874,0
2,Kmeans,0.05771,0
2,Kmeans,0.231559,1
2,Kmeans,0.336938,0
2,Kmeans,0.263241,0
2,Kmeans,0.386255,0
2,Kmeans,0.234087,1
2,Kmeans,0.31694,1
2,Kmeans,0.2897,1
2,Kmeans,0.391193,1
2,Kmeans,0.232086,0
2,Kmeans,0.482391,1
2,Kmeans,0.416814,0
2,Kmeans,0.262822,0
2,Kmeans,0.430237,1
2,Kmeans,0.286323,1
2,Kmeans,0.417772,0
2,Kmeans,0.406189,0
2,Kmeans,0.435457,1
2,Kmeans,0.239589,0
2,Kmeans,0.382587,0
2,Kmeans,0.285864,0
2,Kmeans,0.240684,1
2,Kmeans,0.203695,0
2,Kmeans,0.381513,0
2,Kmeans,0.31055,1
2,Kmeans,0.189708,0
2,Kmeans,0.271824,1
2,Kmeans,0.497113,1
2,Kmeans,0.386141,1
2,Kmeans,0.231504,0
2,Kmeans,0.33948,0
2,Kmeans,0.152627,1
2,Kmeans,0.511241,1
2,Kmeans,0.438114,1
2,Kmeans,0.300812,0
2,Kmeans,0.320549,1
2,Kmeans,0.307877,0
2,Kmeans,0.292336,0
2,Kmeans,0.233659,0
2,Kmeans,0.002343,0
2,Kmeans,0.126552,0
2,Kmeans,0.287705,0
2,Kmeans,0.163769,0
2,Kmeans,0.391887,0
2,Kmeans,0.362921,0
2,Kmeans,0.277518,0
2,Kmeans,0.010608,0
2,Kmeans,0.122649,0
2,Kmeans,0.27204,0
2,Kmeans,0.366335,1
2,Kmeans,0.204805,1
2,Kmeans,-0.075538,0
2,Kmeans,0.094522,0
2,Kmeans,0.386678,1
2,Kmeans,0.343655,0
2,Kmeans,0.362186,0
2,Kmeans,0.002144,0
2,Kmeans,0.512268,1
2,Kmeans,0.42671,1
2,Kmeans,0.361607,0
2,Kmeans,0.314683,1
2,Kmeans,0.485018,1
2,Kmeans,0.364069,0
2,Kmeans,0.343673,1
2,Kmeans,0.433522,1
2,Kmeans,0.401239,1
2,Kmeans,0.28588,0
2,Kmeans,0.316156,0
2,Kmeans,0.248162,0
2,Kmeans,0.30207,0
2,Kmeans,0.381907,1
2,Kmeans,0.297165,1
2,Kmeans,-0.048135,0
2,Kmeans,0.258181,0
2,Kmeans,0.468789,1
2,Kmeans,0.220818,1
2,Kmeans,0.052728,0
2,Kmeans,0.344845,1
2,Kmeans,0.246349,0
2,Kmeans,0.333209,0
2,Kmeans,0.358921,0
2,Kmeans,0.342429,0
2,Kmeans,0.344885,1
2,Kmeans,0.525658,1
2,Kmeans,0.261814,1
2,Kmeans,0.303749,1
2,Kmeans,0.287578,1
2,Kmeans,0.307003,1
2,Kmeans,0.317628,0
2,Kmeans,0.472885,1
2,Kmeans,0.50499,1
2,Kmeans,0.217334,0
2,Kmeans,0.347959,0
2,Kmeans,0.304451,0
2,Kmeans,0.354151,0
2,Kmeans,0.221473,1
2,Kmeans,0.195121,0
2,Kmeans,0.271775,1
2,Kmeans,0.286109,1
2,Kmeans,0.353641,0
2,Kmeans,0.249484,1
2,Kmeans,0.042146,0
2,Kmeans,0.465696,1
2,Kmeans,0.233318,1
2,Kmeans,0.274116,0
2,Kmeans,0.152627,1
2,Kmeans,0.420471,1
2,Kmeans,0.47139,1
2,Kmeans,0.232971,0
2,Kmeans,0.475058,1
2,Kmeans,0.333147,0
2,Kmeans,0.034811,0
2,Kmeans,0.424878,1
2,Kmeans,0.305135,0
2,Kmeans,0.214843,1
2,Kmeans,0.307921,1
2,Kmeans,0.350049,0
2,Kmeans,0.47315,1
2,Kmeans,0.161821,0
2,Kmeans,0.266138,0
2,Kmeans,0.20769,1
2,Kmeans,0.306471,0
2,Kmeans,0.183037,0
2,Kmeans,0.449344,1
2,Kmeans,0.335765,1
2,Kmeans,0.186897,0
2,Kmeans,0.151437,0
2,Kmeans,-0.093272,0
2,Kmeans,0.505457,1
2,Kmeans,0.355884,0
2,Kmeans,0.329815,0
2,Kmeans,0.283843,0
2,Kmeans,0.29357,0
2,Kmeans,0.131354,0
2,Kmeans,0.355782,0
2,Kmeans,0.390313,1
2,Kmeans,0.266293,0
2,Kmeans,0.375849,0
2,Kmeans,0.360079,1
2,Kmeans,0.458289,1
2,Kmeans,0.404608,0
2,Kmeans,0.384738,0
2,Kmeans,0.151557,1
2,Kmeans,0.406176,1
2,Kmeans,0.4553,1
2,Kmeans,-0.002635,0
2,Kmeans,0.259514,0
2,Kmeans,0.004008,0
2,Kmeans,0.355242,0
2,Kmeans,0.325479,0
2,Kmeans,0.090617,0
2,Kmeans,0.376504,1
2,Kmeans,0.243718,0
2,Kmeans,0.33071,0
2,Kmeans,0.512919,1
2,Kmeans,0.2852,0
2,Kmeans,0.285956,1
2,Kmeans,0.224214,0
2,Kmeans,0.281861,0
2,Kmeans,0.249614,0
2,Kmeans,0.438999,1
2,Kmeans,0.260874,1
2,Kmeans,0.328353,1
2,Kmeans,0.367578,0
2,Kmeans,0.264743,0
2,Kmeans,0.517149,1
2,Kmeans,0.468019,1
2,Kmeans,0.453387,1
2,Kmeans,0.053744,0
2,Kmeans,0.20418,0
2,Kmeans,0.256431,0
2,Kmeans,0.002544,0
2,Kmeans,0.345095,0
2,Kmeans,0.316814,0
2,Kmeans,0.218265,1
2,Kmeans,0.470688,1
2,Kmeans,0.387886,0
2,Kmeans,0.098289,1
2,Kmeans,0.492564,1
2,Kmeans,0.235079,0
2,Kmeans,0.497222,1
2,Kmeans,0.346,0
2,Kmeans,0.341152,0
2,Kmeans,0.275215,1
2,Kmeans,0.285456,0
2,Kmeans,0.507236,1
2,Kmeans,0.184611,1
2,Kmeans,0.374115,1
2,Kmeans,0.45815,1
2,Kmeans,0.388254,0
2,Kmeans,0.070856,0
2,Kmeans,0.411108,1
2,Kmeans,0.396793,1
2,Kmeans,-0.094892,0
2,Kmeans,0.530585,1
2,Kmeans,0.381793,0
2,Kmeans,0.399235,1
2,Kmeans,0.176055,0
2,Kmeans,0.289799,0
2,Kmeans,0.35836,0
2,Kmeans,0.1585,0
2,Kmeans,0.352127,0
2,Kmeans,-0.086063,0
2,Kmeans,0.014293,0
2,Kmeans,0.221364,0
2,Kmeans,0.083535,1
2,Kmeans,0.255839,0
2,Kmeans,0.426169,1
2,Kmeans,0.415563,0
2,Kmeans,0.207592,0
2,Kmeans,0.48885,1
2,Kmeans,0.329544,0
2,Kmeans,0.397457,1
2,Kmeans,0.527136,1
2,Kmeans,0.242821,0
2,Kmeans,0.36855,0
2,Kmeans,0.295582,1
2,Kmeans,0.282788,1
2,Kmeans,-0.051081,0
2,Kmeans,0.429165,0
2,Kmeans,0.51194,1
2,Kmeans,0.523347,1
2,Kmeans,0.354795,1
2,Kmeans,0.283812,1
2,Kmeans,0.438534,1
2,Kmeans,0.392403,0
2,Kmeans,0.507887,1
2,Kmeans,0.432181,0
2,Kmeans,0.338183,1
2,Kmeans,0.125058,1
2,Kmeans,0.367756,0
2,Kmeans,0.35934,0
2,Kmeans,0.326765,0
2,Kmeans,0.125646,0
2,Kmeans,0.339981,1
2,Kmeans,0.171622,1
2,Kmeans,0.529774,1
2,Kmeans,0.091633,0
2,Kmeans,0.500317,1
2,Kmeans,0.477462,1
2,Kmeans,0.106873,1
2,Kmeans,0.304136,0
2,Kmeans,0.390328,0
2,Kmeans,0.261401,0
2,Kmeans,0.501628,1
2,Kmeans,0.189185,0
2,Kmeans,0.276356,1
