k,Kmeans,GMM
2,0.4653878231859883,0.4261884904086739
3,0.4845704753961635,0.4361968306922435
4,0.48623853211009177,0.5354462051709759
5,0.5579649708090075,0.5496246872393661
6,0.5537948290241869,0.5462885738115096
7,0.5613010842368641,0.5437864887406172
8,0.5537948290241869,0.5404503753127606
9,0.5496246872393661,0.5346121768140116
10,0.5412844036697247,0.5396163469557965
11,0.5496246872393661,0.5329441201000834
12,0.5571309424520434,0.5287739783152627
13,0.5604670558798999,0.5346121768140116
14,0.5521267723102585,0.5554628857381151
15,0.5496246872393661,0.5462885738115096
16,0.5562969140950792,0.5387823185988324
18,0.548790658882402,0.5646371976647206
20,0.5587989991659716,0.5479566305254379
22,0.5504587155963303,0.5429524603836531
24,0.554628857381151,0.5579649708090075
26,0.5713094245204337,0.5654712260216848
28,0.5629691409507923,0.5679733110925771
30,0.5696413678065054,0.5688073394495413
32,0.5696413678065054,0.5704753961634695
34,0.5788156797331109,0.5679733110925771
36,0.5796497080900751,0.5738115095913261
40,0.5863219349457881,0.5738115095913261
45,0.5738115095913261,0.5688073394495413
50,0.5888240200166805,0.5954962468723937
55,0.5904920767306089,0.6105087572977481
60,0.5888240200166805,0.6171809841534612
