k,Kmeans,GMM
2,0.037795198404364724,0.00862841751342767
3,0.05619675438539027,0.00886925496402782
4,0.06327151908862076,0.07921991168742926
5,0.09709533023219855,0.0914234561608821
6,0.08994697991723791,0.07096137334109177
7,0.1002581927108475,0.07969415517837804
8,0.09229186009246541,0.08024168745937604
9,0.09604946109442651,0.0805001715989343
10,0.09345895042798319,0.07079780302035732
11,0.08918829746598217,0.07202986851202547
12,0.09621678949682105,0.07020359347748586
13,0.09079281399005099,0.07908800779251737
14,0.08791419086409051,0.0888172335972136
15,0.08856579703497225,0.07657117559306365
16,0.08924681324919326,0.08057376958433259
18,0.09020464504599601,0.08979515893183099
20,0.08969332746359894,0.08481914696344751
22,0.08662230987413833,0.08358406386062447
24,0.08793354024377789,0.08192899627466145
26,0.08475001389429665,0.08202165879205696
28,0.08673377283935069,0.08191103335067937
30,0.08674369478782779,0.08159184578871645
32,0.08363800035347367,0.08559072678274311
34,0.09177488375337428,0.07981869102041009
36,0.08679453977397594,0.08200374359794961
40,0.08577722001596048,0.0775465974018597
45,0.08090812316902907,0.07758188120621025
50,0.08579255227340549,0.08491762867616025
55,0.08001450431690167,0.0924456810436246
60,0.07669499490396593,0.0906447556369681
