k,redwine BIC
2,27876.80011125875
3,27581.95637708786
4,26562.21072479576
5,26722.192645039268
6,26678.382294036288
7,26978.88684109469
8,27500.313739230154
9,27659.538715499504
10,27472.998918986355
11,27997.38609391525
12,27763.7172637782
13,28078.93973886419
14,28397.09445405827
15,28654.839673908027
16,28981.710216764906
18,29179.977629278703
20,29392.632610982175
22,29862.282928189285
24,30682.985684290157
26,31237.0321068315
28,31754.832871090453
30,32648.333986622143
32,32950.33972997297
34,33093.40275118945
36,33921.895824078514
40,34269.13253811528
45,35549.43933866646
50,35949.14984625089
55,38611.51335559851
60,39591.52755969002
