k,Kmeans,GMM
2,0.055103197216531216,0.019390701131321582
3,0.06303649296112292,0.01710059198252578
4,0.06977052257006501,0.08436586278241083
5,0.09427858993608912,0.09540861261176627
6,0.08697753400570987,0.06870888993160332
7,0.09224740346478967,0.07318091312682179
8,0.08430748645702163,0.07445473026298187
9,0.08616735947166705,0.07323334924538523
10,0.08075498703746353,0.06452378347256088
11,0.07742086410319782,0.06630693268464569
12,0.08305668600433562,0.06437526749985464
13,0.07755101316774242,0.07147726286885842
14,0.07530871875346244,0.07730119944335095
15,0.07587811316417313,0.068897571608103
16,0.07651801790546105,0.07112594380842266
18,0.07673158709744661,0.07936087952334618
20,0.07672595159528296,0.07457014652749282
22,0.07510660881908461,0.07288044604913325
24,0.07632306104572303,0.0721315107096985
26,0.07411822538656573,0.07262505053584821
28,0.07615339547704651,0.07259143584975038
30,0.0763460444011073,0.07263878008610782
32,0.07423046180726194,0.0756565949308089
34,0.0804095460188958,0.0722849011825612
36,0.0769393304405477,0.07395294392717948
40,0.07711897330212837,0.0719942026418918
45,0.07524657884115339,0.07302843707360275
50,0.07935884587382788,0.07885760752668465
55,0.07656384785351676,0.08448382902023913
60,0.07570463151786667,0.08443822401788034
