k,Kmeans,GMM
2,0.03141823472413094,0.007939087572207328
3,0.05698356563050124,0.011063377794306009
4,0.06697573092483551,0.08446970056591907
5,0.11356845505106115,0.10039283573557552
6,0.10988016079464029,0.09113347560421522
7,0.1312839339490009,0.10992602115467873
8,0.12744018649438268,0.11260840740714427
9,0.1379617597911389,0.11929112078715837
10,0.14664436756777946,0.11254530066460465
11,0.1443360946076373,0.11528948251443302
12,0.15657237703815247,0.11741036936211137
13,0.15771341182593762,0.13230025362646539
14,0.15760364953002198,0.1538242666688955
15,0.16202559285362683,0.13708737097189982
16,0.16569166357131776,0.1490763510252333
18,0.17663008773927402,0.16408557076389954
20,0.18053584050234836,0.16727910338043855
22,0.17950904331885467,0.17654996478064497
24,0.18751211957417982,0.17904328185464272
26,0.18938320640729733,0.18316508075123134
28,0.19535259608093997,0.19001003237872816
30,0.20285925693660228,0.1953022572394171
32,0.2047692208304259,0.20765895746534632
34,0.2217899579206315,0.2009540321445892
36,0.22065217816568367,0.2109446079970545
40,0.22694881337499342,0.2104604144365649
45,0.22548598708782513,0.2210579269175104
50,0.24460455987460628,0.2447527611306079
55,0.24558138200532467,0.2672598819118495
60,0.24422751300695192,0.27247871256987166
