k,type,score,label
2,Kmeans,0.057583,0
2,Kmeans,0.240756,1
2,Kmeans,0.319046,1
2,Kmeans,0.232791,0
2,Kmeans,0.232954,0
2,Kmeans,0.403183,1
2,Kmeans,0.297435,1
2,Kmeans,0.282556,0
2,Kmeans,0.221512,1
2,Kmeans,0.240756,1
2,Kmeans,0.384612,1
2,Kmeans,0.343339,1
2,Kmeans,-0.003418,0
2,Kmeans,0.043976,0
2,Kmeans,0.437591,1
2,Kmeans,0.086975,0
2,Kmeans,0.099953,1
2,Kmeans,0.212164,0
2,Kmeans,0.31711,1
2,Kmeans,0.190114,1
2,Kmeans,0.250009,1
2,Kmeans,0.189976,1
2,Kmeans,0.334887,1
2,Kmeans,0.27841,0
2,Kmeans,0.22588,0
2,Kmeans,0.096167,0
2,Kmeans,0.366738,1
2,Kmeans,0.244923,1
2,Kmeans,0.20652,1
2,Kmeans,0.235384,1
2,Kmeans,0.381698,1
2,Kmeans,0.299825,0
2,Kmeans,0.160886,1
2,Kmeans,0.290614,1
2,Kmeans,0.013333,0
2,Kmeans,0.370768,1
2,Kmeans,0.135675,1
2,Kmeans,0.390602,1
2,Kmeans,0.277183,1
2,Kmeans,0.184106,1
2,Kmeans,0.235979,1
2,Kmeans,0.352257,1
2,Kmeans,0.01456,0
2,Kmeans,0.308972,1
2,Kmeans,0.297404,1
2,Kmeans,0.074499,0
2,Kmeans,0.408685,1
2,Kmeans,0.272955,1
2,Kmeans,0.152692,0
2,Kmeans,-0.064058,0
2,Kmeans,0.20633,1
2,Kmeans,0.00775,0
2,Kmeans,0.201288,0
2,Kmeans,0.413232,1
2,Kmeans,0.232233,1
2,Kmeans,0.045523,0
2,Kmeans,0.154722,1
2,Kmeans,0.101796,1
2,Kmeans,0.247462,1
2,Kmeans,0.273307,0
2,Kmeans,0.351353,1
2,Kmeans,0.057537,0
2,Kmeans,0.241772,0
2,Kmeans,0.081102,0
2,Kmeans,-0.003418,0
2,Kmeans,0.100475,0
2,Kmeans,0.141817,0
2,Kmeans,0.000444,0
2,Kmeans,0.103916,1
2,Kmeans,0.179101,1
2,Kmeans,0.34299,1
2,Kmeans,-0.021778,0
2,Kmeans,0.424984,1
2,Kmeans,0.107912,0
2,Kmeans,0.244348,1
2,Kmeans,0.224794,0
2,Kmeans,0.144958,1
2,Kmeans,0.410615,1
2,Kmeans,0.372903,1
2,Kmeans,0.281048,1
2,Kmeans,0.136705,0
2,Kmeans,-0.073494,0
2,Kmeans,0.180929,0
2,Kmeans,0.237279,1
2,Kmeans,-0.024046,0
2,Kmeans,0.008275,0
2,Kmeans,0.190897,1
2,Kmeans,0.273245,1
2,Kmeans,0.083131,0
2,Kmeans,0.247095,1
2,Kmeans,0.275381,1
2,Kmeans,0.372748,1
2,Kmeans,0.004475,0
2,Kmeans,0.364317,1
2,Kmeans,0.107316,0
2,Kmeans,0.255025,1
2,Kmeans,-0.031139,0
2,Kmeans,0.263121,0
2,Kmeans,0.040603,0
2,Kmeans,0.248048,1
2,Kmeans,0.262181,1
2,Kmeans,-0.012093,0
2,Kmeans,-0.061863,0
2,Kmeans,0.081325,0
2,Kmeans,0.296329,1
2,Kmeans,0.32061,1
2,Kmeans,0.218413,0
2,Kmeans,-0.022927,0
2,Kmeans,0.396805,1
2,Kmeans,0.234302,0
2,Kmeans,0.036479,0
2,Kmeans,0.028687,0
2,Kmeans,0.295149,1
2,Kmeans,0.125744,0
2,Kmeans,0.319046,1
2,Kmeans,0.366552,1
2,Kmeans,0.313343,1
2,Kmeans,0.385184,1
2,Kmeans,0.245272,0
2,Kmeans,0.260205,1
2,Kmeans,0.415411,1
2,Kmeans,-0.090494,0
2,Kmeans,0.303986,1
2,Kmeans,0.088527,1
2,Kmeans,0.296609,1
2,Kmeans,0.270109,1
2,Kmeans,0.334818,1
2,Kmeans,0.132186,0
2,Kmeans,0.269935,0
2,Kmeans,0.168301,1
2,Kmeans,0.321973,1
2,Kmeans,0.208033,1
2,Kmeans,0.234602,1
2,Kmeans,0.346247,1
2,Kmeans,0.339106,1
